id,context,question,answer0,answer1,answer2,answer3,label
3O71U79SRBN3LSUKH1H4QAL9FU6MSP##3M23Y66PO354I97MKOGPQYKBZYJS6I##A13H5EYMWJ9GU8##Blog_1287093##q1_a2##3BAWBGQGYLX0SH417QKKIF8QKNG7V8,"7w3d -- When I told Mike that Nicole has developed more hand control , and that she had played with my face today , he said she played with his face too ! She is very determined and purposeful . Today I took a whole series of photos of her as she worked and succeeded at getting her thumb in her mouth .",What may I feel when I realized Nicole developed more hand control,I feel proud,I feel celebrated,None of the above choices .,I feel beautiful,0
3O71U79SRBN3LSUKH1H4QAL9FU6MSP##3V0Z7YWSIZYWS05PRH9RB8N6I452VO##APRZ7BR8C0ZMQ##Blog_1287093##q1_a2##3T2EL38U0MI22OEB34U86RM65OFXQY,"7w3d -- When I told Mike that Nicole has developed more hand control , and that she had played with my face today , he said she played with his face too ! She is very determined and purposeful . Today I took a whole series of photos of her as she worked and succeeded at getting her thumb in her mouth .",What is the reason Nicole 's being more developed and having hand control is so noteworthy ?,Nicole is a quadrapelegic and is getting physical therapy .,Nicole is severely mentally challenged .,Nicole is just developing and is nearing the age when she should be able to pick things up .,None of the above choices .,2
3TKXBROM5T8OQ6L39SAY6GN5229IJP##31HQ4X3T3T8M1UAT7SMRFH28PBXSLF##A3VVR8NR3ED04C##Blog_1287093##q2_a1##3NI0WFPPI9E1VGPGLJR3R8I4VGJ06A,Still better than buying paper diapers . The child goes through at least 20 cloth diapers a day ( I figure I could get away with 4 diaper covers and just reuse the liners until they get soiled or wet . She only poops two to three times a day at most now ) . She pees so much I worry there 's something wrong .,What is the narrator likely to do next for the child ?,The narrator is likely to take the child to the dentist .,The narrator is likely to take the child to the mall .,The narrator is likely to take the child to the store .,The narrator is likely to take the child to the hospital .,3
3TKXBROM5T8OQ6L39SAY6GN5229IJP##3WMOAN2SRCVSHMUID07B3WQ4TSTVNR##ARB80JPV0HQ5O##Blog_1287093##q1_a1##3538U0YQ1FSTV1HO5ZCQNCTORR6F3N,Still better than buying paper diapers . The child goes through at least 20 cloth diapers a day ( I figure I could get away with 4 diaper covers and just reuse the liners until they get soiled or wet . She only poops two to three times a day at most now ) . She pees so much I worry there 's something wrong .,What may be the reason she pees so much ?,Maybe she is drinking too many liquids .,Maybe she is getting rid of excess water .,Maybe it is just a reflex from laughing hard .,None of the above choices .,0
3UAU495MIIQ70870JMRHXFS2VR6UOS##388U7OUMF8ZX3JLU3A03RN5O0T50RS##APRZ7BR8C0ZMQ##Blog_1287093##q2_a1##360ZO6N6J1HLGDYL8VHD9FGJOKT9M6,"We ' ve already researched about the skull bones fusing early ( because she has a ridge running from front to back ) and I worried she did n't have sweat glands because she does not have tears yet . She got hot and clammy today though , so I ' m assuming she sweats , but maybe her tear ducts are blocked . Mommyitis . Amanda asked to have Nicole on her chest today . Nicole rooted around on her until Amanda said , "" Get this off me !","What would be the reason that Nicole would be "" rooting around on her "" ?",None of the above choices .,Nicole is searching for potato roots .,Nicole is playing a game and pretending she is a pig .,Nicole wants to nurse Amanda because she does n't know she is NOT her mother .,3
3UAU495MIIQ70870JMRHXFS2VR6UOS##3LYA37P8IRLC02B9B6OVASFTW40BKM##ARB80JPV0HQ5O##Blog_1287093##q1_a1##3QTFNPMJC6G64M1YOUQCZI7C8DRZNB,"We ' ve already researched about the skull bones fusing early ( because she has a ridge running from front to back ) and I worried she did n't have sweat glands because she does not have tears yet . She got hot and clammy today though , so I ' m assuming she sweats , but maybe her tear ducts are blocked . Mommyitis . Amanda asked to have Nicole on her chest today . Nicole rooted around on her until Amanda said , "" Get this off me !",What may happen if her tear ducts are blocked ?,Her eyes will not open and close as normal .,Her eyes will not be able to see in the dark .,He eyes will not be able to naturally lubricate .,None of the above choices .,2
3TKXBROM5T8OQ6L39SAY6GN5229IJP##31HQ4X3T3T8M1UAT7SMRFH28PBXSLF##A3VVR8NR3ED04C##Blog_1287093##q1_a1##38EHZ67RIMQ0VNLTM1NN1W26SZBGMV,Still better than buying paper diapers . The child goes through at least 20 cloth diapers a day ( I figure I could get away with 4 diaper covers and just reuse the liners until they get soiled or wet . She only poops two to three times a day at most now ) . She pees so much I worry there 's something wrong .,Why is the narrator concerned about the health of their child ?,The narrator believes the baby 's fever is bad .,The narrator believes the child may be going to the bathroom too much .,The narrator believes the baby is acting fine .,None of the above choices .,1
3TKXBROM5T8OQ6L39SAY6GN5229IJP##31HQ4X3T3T8M1UAT7SMRFH28PBXSLF##A3VVR8NR3ED04C##Blog_1287093##q1_a2##3URJ6VVYUPL8JADL4G0ZKBU8XUH4OB,Still better than buying paper diapers . The child goes through at least 20 cloth diapers a day ( I figure I could get away with 4 diaper covers and just reuse the liners until they get soiled or wet . She only poops two to three times a day at most now ) . She pees so much I worry there 's something wrong .,Why is the narrator concerned about the health of their child ?,The narrator believes the amount of bathroom time is abnormal .,The narrator believes the baby 's fever is bad .,None of the above choices .,The narrator believes the baby is acting fine .,0
3TKXBROM5T8OQ6L39SAY6GN5229IJP##3LUY3GC630YQ9H5ZBHHN17FW76A7PS##APRZ7BR8C0ZMQ##Blog_1287093##q1_a1##39WICJI5ATQZ0I8O6B6XQ4963YNZ3M,Still better than buying paper diapers . The child goes through at least 20 cloth diapers a day ( I figure I could get away with 4 diaper covers and just reuse the liners until they get soiled or wet . She only poops two to three times a day at most now ) . She pees so much I worry there 's something wrong .,What is the reason I worry there 's something wrong ?,Urinating too much can be a sign of illness .,None of the above choices .,I 'm worried that I might have the wrong baby .,I feel that I am incompetent .,0
3TKXBROM5T8OQ6L39SAY6GN5229IJP##3LUY3GC630YQ9H5ZBHHN17FW76A7PS##APRZ7BR8C0ZMQ##Blog_1287093##q1_a2##3Q7TKIAPOT8DDLTHKZL0VYKKF25LDO,Still better than buying paper diapers . The child goes through at least 20 cloth diapers a day ( I figure I could get away with 4 diaper covers and just reuse the liners until they get soiled or wet . She only poops two to three times a day at most now ) . She pees so much I worry there 's something wrong .,What is the reason I worry there 's something wrong ?,I 'm worried that I might have the wrong baby .,None of the above choices .,I might be giving her too many liquids if she pees all the time .,I feel that I am incompetent .,2
3UAU495MIIQ70870JMRHXFS2VR6UOS##388U7OUMF8ZX3JLU3A03RN5O0T50RS##APRZ7BR8C0ZMQ##Blog_1287093##q1_a1##3HUR21WDDUNBBQ5XUEB2JDP84ZLXYU,"We ' ve already researched about the skull bones fusing early ( because she has a ridge running from front to back ) and I worried she did n't have sweat glands because she does not have tears yet . She got hot and clammy today though , so I ' m assuming she sweats , but maybe her tear ducts are blocked . Mommyitis . Amanda asked to have Nicole on her chest today . Nicole rooted around on her until Amanda said , "" Get this off me !",Who is Nicole ?,Nicole is a baby .,Nicole is her best friend .,None of the above choices .,Nicole is her sister .,0
3UAU495MIIQ70870JMRHXFS2VR6UOS##388U7OUMF8ZX3JLU3A03RN5O0T50RS##APRZ7BR8C0ZMQ##Blog_1287093##q1_a2##3AJA9FLWSCW8L4Z7Q2JDRIVDABRIFI,"We ' ve already researched about the skull bones fusing early ( because she has a ridge running from front to back ) and I worried she did n't have sweat glands because she does not have tears yet . She got hot and clammy today though , so I ' m assuming she sweats , but maybe her tear ducts are blocked . Mommyitis . Amanda asked to have Nicole on her chest today . Nicole rooted around on her until Amanda said , "" Get this off me !",Who is Nicole ?,Nicole is a new child .,None of the above choices .,Nicole is her best friend .,Nicole is her sister .,0
3UAU495MIIQ70870JMRHXFS2VR6UOS##3Z4AIRP3C7BH74SO8SAVUAAM7P3X16##A3VVR8NR3ED04C##Blog_1287093##q1_a1##33P2GD6NRNQJ5VG1LVSP7JM3IUTKHT,"We ' ve already researched about the skull bones fusing early ( because she has a ridge running from front to back ) and I worried she did n't have sweat glands because she does not have tears yet . She got hot and clammy today though , so I ' m assuming she sweats , but maybe her tear ducts are blocked . Mommyitis . Amanda asked to have Nicole on her chest today . Nicole rooted around on her until Amanda said , "" Get this off me !",Why is there so much tension between Amanda and Nicole ?,Amanda and Nicole are stressed by their relationship with each other .,Amanda and Nicole are stressed by their mother 's interaction with them .,None of the above choices .,Amanda and Nicole are overseeing a medical environment that is high - stress .,3
3UAU495MIIQ70870JMRHXFS2VR6UOS##3Z4AIRP3C7BH74SO8SAVUAAM7P3X16##A3VVR8NR3ED04C##Blog_1287093##q1_a2##3CMIQF80GNOPJ9UF2HLI6E9M8M5Q6Q,"We ' ve already researched about the skull bones fusing early ( because she has a ridge running from front to back ) and I worried she did n't have sweat glands because she does not have tears yet . She got hot and clammy today though , so I ' m assuming she sweats , but maybe her tear ducts are blocked . Mommyitis . Amanda asked to have Nicole on her chest today . Nicole rooted around on her until Amanda said , "" Get this off me !",Why is there so much tension between Amanda and Nicole ?,Amanda and Nicole are stressed by their relationship with each other .,None of the above choices .,Amanda and Nicole are stressed by their mother 's interaction with them .,Amanda and Nicole are stressed by the medical procedure .,3
3X55NP42EOE5ME6IJ28VZ67SSX73PR##3S06PH7KSS239YN7HS9J037URUP1DG##A2RB88RMXUR0TH##Blog_1287093##q2_a1##3APP19WN71CY6K01ZLG6C05K2026GJ,"Amanda LOVES the baby , and loves loving on her a little too much . Nicole does n't mind and gives her huge smiles . Shannon also loves to hold her , either in her arms or on her chest ( while she is seated on the couch ) . The other day Amanda asked Mike if he would latch the baby on to her nipple !",Why did Amanda ask Mike to latch the baby onto her nipple ?,She has seen her mother breastfeeding .,None of the above choices .,She thought it would be funny .,She felt like she was engorged .,0
3X55NP42EOE5ME6IJ28VZ67SSX73PR##3S06PH7KSS239YN7HS9J037URUP1DG##A2RB88RMXUR0TH##Blog_1287093##q2_a1##3E22YV8GG14CQIZS1LSA8K5YYHENPE,"Amanda LOVES the baby , and loves loving on her a little too much . Nicole does n't mind and gives her huge smiles . Shannon also loves to hold her , either in her arms or on her chest ( while she is seated on the couch ) . The other day Amanda asked Mike if he would latch the baby on to her nipple !",Why did Amanda ask Mike to latch the baby onto her nipple ?,None of the above choices .,She thought it would be funny .,She felt like she was engorged .,She wanted to emulate what she has seen .,3
3X55NP42EOE5ME6IJ28VZ67SSX73PR##3QIYRE09Y4FCVAEK6MNMW8JO5WP1NS##ARB80JPV0HQ5O##Blog_1287093##q1_a1##3WA2XVDZEMF0M64ATQQICXK8PKN6E2,"Amanda LOVES the baby , and loves loving on her a little too much . Nicole does n't mind and gives her huge smiles . Shannon also loves to hold her , either in her arms or on her chest ( while she is seated on the couch ) . The other day Amanda asked Mike if he would latch the baby on to her nipple !",What may be signs that she holds they baby too much ?,The baby starts to laugh and have a good time .,The baby starts to jump up in the air to get free .,The baby tells her she does nt want to be held .,None of the above choices .,3
3VJ4PFXFJ5LXSTC6T1YZOIW50PBAUP##3MTMREQS4YXD7HZ5E3J2VQDRDRGAW7##A32W24TWSWXW##Blog_72572##q1_a1##3FO95NVK5EE9CX6J67PL473RF1GRSA,"I was a "" day zero "" iPhone owner . I am very comfortable spending money for bleeding edge technology , so long as it offers big upside , or novelty . I can also deal with the inevitable quirks .",What is the gist of the story I posted ?,I love the Apple phone and will continue to invest money and time into them .,I am sick and tired of all the technological quirks in equipment .,None of the above choices .,I am beginning to dislike all the novelties to get you to buy the iphone .,0
3LG268AV3AK82E115C5GFQZCE3RREF##3KB8R4ZV1HMMT5EX5CFG4YB91DZBGC##A3VVR8NR3ED04C##Blog_768271##q1_a2##36QZ6V158BR1SPY0A1KQ9IQBM0YSUT,"Strategic Planning committee last night ( agenda here ) , with the main item being the massive new New Deal for Communities development for the Kender Triangle at New Cross Gate . In contrast to the usually expected crowd of objectors ( often to much smaller developments than this ) there was a busload ( literally - they parked their bus outside ) of supporters - enthusiastically wearing their campaign t - shirts and cheering on the architect and Councillor Robin Cross ( the only local ward councillor who seems to have bothered to get involved with the project ) when they made speeches to the committee explaining the benefits of the scheme for the area . After the meeting we found them still outside the Town Hall , taking group photos to record the occasion .",Why is the group organizing ?,To get their own benefits .,To campaign .,None of the above choices .,To build a new gate .,1
3LG268AV3AK82E115C5GFQZCE3RREF##3KB8R4ZV1HMMT5EX5CFG4YB91DZBGC##A3VVR8NR3ED04C##Blog_768271##q1_a1##3X0EMNLXER34SC78NAQ1AZNJDN0VP5,"Strategic Planning committee last night ( agenda here ) , with the main item being the massive new New Deal for Communities development for the Kender Triangle at New Cross Gate . In contrast to the usually expected crowd of objectors ( often to much smaller developments than this ) there was a busload ( literally - they parked their bus outside ) of supporters - enthusiastically wearing their campaign t - shirts and cheering on the architect and Councillor Robin Cross ( the only local ward councillor who seems to have bothered to get involved with the project ) when they made speeches to the committee explaining the benefits of the scheme for the area . After the meeting we found them still outside the Town Hall , taking group photos to record the occasion .",Why is the group organizing ?,To get their own benefits .,None of the above choices .,To work on government .,To build a new gate .,2
3SBNLSTU6U3XIAALZ0C93DVIUXIDZC##3SNLUL3WO5L2G72XWXHRUIKWFFALUZ##A1VR49TB3Q4BV8##Blog_1129804##q1_a1##3ZTE0JGGCG6Q83P7HTIHV7U4I3HOCV,"Previously , I 'd been reluctant to print anything from the G9 as I had some funky artifacts showing up . Now I feel a bit better about my processing , both in terms of controlling contrasts and viewer focus , and also in terms of handling the output of a digital camera . One of the things I ' m really enjoying about photography is the semi - constant learning process .",Why do I enjoy photography ?,The best parts are the artifacts .,I enjoy the artifacts showing up .,The artifacts are amazing .,I enjoy the learning process of it all .,3
3T2HW4QDUXLN1GL1F4ZZYHZFN0D9CC##3WT783CTPEW9CTYS3QJXE7QU21RCBI##A3PPLDHC3CG0YN##Blog_722558##q1_a2##3VW0145YL0QPGEA1E5KQQ7IUDTNMJG,"I will provide you , my reader , ( for although I am not giving the link to this blog out anywhere , i ca n't help but hope somebody somewhere will read it ) with a little information about myself . I am a sixteen year old girl and I live in England . I have just finished high school and I ' m going to college in September .",What may be the reason why she is telling people about herself ?,So her readers will form an opinion about her .,None of the above choices .,So her readers will connect with her better .,So her readers wo n't follow along anymore .,2
3T2HW4QDUXLN1GL1F4ZZYHZFN0D9CC##3WT783CTPEW9CTYS3QJXE7QU21RCBI##A3PPLDHC3CG0YN##Blog_722558##q1_a1##3YZ7A3YHR77K7A8L90CI16YVNHAS5C,"I will provide you , my reader , ( for although I am not giving the link to this blog out anywhere , i ca n't help but hope somebody somewhere will read it ) with a little information about myself . I am a sixteen year old girl and I live in England . I have just finished high school and I ' m going to college in September .",What may be the reason why she is telling people about herself ?,None of the above choices .,So her readers wo n't follow along anymore .,So her readers know who she is .,So her readers will form an opinion about her .,2
388FBO7JZRR6ZWRTS8OTLBYA2GEYN4##3Q5ZZ9ZEVPDQGLSZ170FH16AX3C58K##A22EDUBB602EJD##Blog_298511##q2_a1##33QQ60S6AUW1RGEO1Z16ZCKSR38U0R,"So crazy ! Last night I had a dream consisting of me starring in some sort of warped college - age episode of my favorite guilty pleasure , "" The Gossip Girls "" . And we all shared a bed at one point , although we had sectioned off the small day - bed into six different portions , and all had separate sheets , and expensive DKNY comforters and extravagant black and white throw pillows .",What was the reason that the bed was sectioned off into different sections ?,The bed was sectioned off because there was six people that had to share the bed .,The bed was sectioned due to privacy concerns .,The bed was sectioned becuse there were too many pillows .,None of the above choices .,0
388FBO7JZRR6ZWRTS8OTLBYA2GEYN4##3Q5ZZ9ZEVPDQGLSZ170FH16AX3C58K##A22EDUBB602EJD##Blog_298511##q1_a1##3Y3N5A7N4INFB35005LT0UXIQUKYM4,"So crazy ! Last night I had a dream consisting of me starring in some sort of warped college - age episode of my favorite guilty pleasure , "" The Gossip Girls "" . And we all shared a bed at one point , although we had sectioned off the small day - bed into six different portions , and all had separate sheets , and expensive DKNY comforters and extravagant black and white throw pillows .","Who are these "" Gossip Girls "" that this person talks about in her dream ?","The "" Gossip Girls "" are warped woman that talk about her .",None of the above choices .,"The "" Gossip Girls "" are people she refers to are people that go to her school .","The "" Gossip Girls "" are those girls she likes to get crazy with .",1
36GJS3V78VOAUFF8J4AVL4APO2KGJP##33CID57105RIHDPEHDLQ79UW3MPL3V##A3VVR8NR3ED04C##Blog_647724##q1_a1##3O71U79SRD3IFHTR1ZT4I89H9BTMSN,"I have n't seen him in weeks . We just are not as close as we were before he left for his 9month pilot thingie . He works a lot too , he 's driving limos hoping he 'll get an interview with a big airline . I think we 're kind of like brother / sister at this point hehe , he 's been there through so much of my life , especially through the Ethan - years .",Why does the narrator feel more distant from the man ?,He is out with his brothers more .,He is out with his sisters more .,None of the above choices .,He is working more .,3
36GJS3V78VOAUFF8J4AVL4APO2KGJP##33CID57105RIHDPEHDLQ79UW3MPL3V##A3VVR8NR3ED04C##Blog_647724##q1_a2##3I7SHAD35OAWWJ9ZDWVTNHDLMXG7ML,"I have n't seen him in weeks . We just are not as close as we were before he left for his 9month pilot thingie . He works a lot too , he 's driving limos hoping he 'll get an interview with a big airline . I think we 're kind of like brother / sister at this point hehe , he 's been there through so much of my life , especially through the Ethan - years .",Why does the narrator feel more distant from the man ?,He is out grinding more at work .,He is out with his brothers more .,None of the above choices .,He is out with his sisters more .,0
3ZCC2DXSD720BVV7ZAX42RWH60IYYU##3DEL4X4EL7JEXA3RKHH48XLWJHPXY0##A3VVR8NR3ED04C##Blog_903756##q1_a1##3MDKGGG61S1H5ELE3JRD3H8HLSNT60,I felt honored that someone so knowledgeable came and talked to us . He led us around the cemetery and pointed out some of the famous activists . At that point our teachers were helping to translate so I understood more .,Why was the narrator moved by the cemetary ?,There is history there .,Their teacher is buried there .,Their loved one is there .,None of the above choices .,0
3ZCC2DXSD720BVV7ZAX42RWH60IYYU##3DEL4X4EL7JEXA3RKHH48XLWJHPXY0##A3VVR8NR3ED04C##Blog_903756##q1_a2##3H5TOKO3DBXXOT6OOIQ5V9WP5T664H,I felt honored that someone so knowledgeable came and talked to us . He led us around the cemetery and pointed out some of the famous activists . At that point our teachers were helping to translate so I understood more .,Why was the narrator moved by the cemetary ?,Their loved one is there .,It is historical .,None of the above choices .,Their teacher is buried there .,1
3HEA4ZVWVF0J18AAX4ZA8VO39PM55R##3OE22WJIGL3S2THH8Z1N327ZVCBUQK##A3PPLDHC3CG0YN##Blog_588451##q1_a1##3L7SUC0TTW8IE89FSXAK823YELTM0N,We pass the 1st round with some kind of luck and then in the second round we did n't pass . I could only blame myself for this because I did n't plan out the work properly . The 1st round we only did about 50 % that we hoped for but in the second round we did only the minimal that we could have done . It is n't like we did n't care or did n't want to win or anything .,What may be the reason why they did so poorly ?,They did n't have good teammates .,None of the above choices .,They were n't properly prepared .,They did n't want to win .,2
3P4C70TRMTVVJU2F6NY8THBQM4EGLL##32ZKVD547I2LZT29AX8WL4M0YO23B1##A1VYRD3HO2WDUN##Blog_1064775##q1_a1##3X2YVV51PWIEQ9OBSIK7V5O0IVC1WU,"As of today , we have been residents of Cincinnati for one week . We live about a block from a hospital , which is great if we have an emergency , but not so great when ambulances decide to scream into the ER at 2 am every night . This pic is the view from our living room .",What may I have seen outside this past 7 days ?,I may have seen some nurses walking around .,None of the above choices .,I may have seen some ambulances under palm trees .,I may have seen some tourist buses with loudspeakers .,0
3P4C70TRMTVVJU2F6NY8THBQM4EGLL##32ZKVD547I2LZT29AX8WL4M0YO23B1##A1VYRD3HO2WDUN##Blog_1064775##q1_a2##3QI9WAYOGSPGQE8ZEJMNTCCWKTVS63,"As of today , we have been residents of Cincinnati for one week . We live about a block from a hospital , which is great if we have an emergency , but not so great when ambulances decide to scream into the ER at 2 am every night . This pic is the view from our living room .",What may I have seen outside this past 7 days ?,I may have seen some tourist buses with loudspeakers .,I may have seen some speeding vans on the road .,None of the above choices .,I may have seen some ambulances under palm trees .,1
3YOAVL4CA2VZC3QZQNNGS7PK7YEZ4B##30BUDKLTXGAMKB1XY7YF19Q58X45EG##A3VVR8NR3ED04C##Blog_19874##q1_a1##33QQ60S6AUW1RGEO1Z16ZCKSRT20U7,It worked and worked well . I think this model could be made to work in schools that are not magnets or special purpose schools as well . Perhaps the focus could be around sports ? Or maybe vocational technical programs ?,What will the narrator opt to do with this model ?,They will implement it at school .,They will implement it in the lottery .,They will implement it at the horse track .,They will implement it at the boxing gym .,0
3YOAVL4CA2VZC3QZQNNGS7PK7YEZ4B##3P1L2B7AD44MYRH7K8HINAGGYX9LO3##AS5X6GRDJKWG3##Blog_19874##q1_a1##3EAWOID6MVB14V3O6PBBVYMB50B0VW,It worked and worked well . I think this model could be made to work in schools that are not magnets or special purpose schools as well . Perhaps the focus could be around sports ? Or maybe vocational technical programs ?,What may be a fact about what they are developing ?,They are developing a model for an educational plan .,They are restructuring the educational system there .,They are developing a new school course .,They are making changes to the current educational model .,0
3YOAVL4CA2VZC3QZQNNGS7PK7YEZ4B##3P1L2B7AD44MYRH7K8HINAGGYX9LO3##AS5X6GRDJKWG3##Blog_19874##q2_a1##3H5TOKO3DBXXOT6OOIQ5V9WP5J064R,It worked and worked well . I think this model could be made to work in schools that are not magnets or special purpose schools as well . Perhaps the focus could be around sports ? Or maybe vocational technical programs ?,What may happen after this discussion ?,They will improve the model .,They will examine the model .,They will implement the model .,None of the above choices .,2
3YOAVL4CA2VZC3QZQNNGS7PK7YEZ4B##30BUDKLTXGAMKB1XY7YF19Q58X45EG##A3VVR8NR3ED04C##Blog_19874##q1_a2##3W0KKJIARTN569EF2PAJM4HC80G8K5,It worked and worked well . I think this model could be made to work in schools that are not magnets or special purpose schools as well . Perhaps the focus could be around sports ? Or maybe vocational technical programs ?,What will the narrator opt to do with this model ?,They will implement it in the lottery .,They will implement it at the horse track .,None of the above choices .,They will implement it at the boxing gym .,2
3AFT28WXLHGHL6B793E36ASZUSVIOO##3NPI0JQDARKS241D8HWOY1VN4DZPTX##AS5X6GRDJKWG3##Blog_1441090##q1_a1##3538U0YQ1H88PQGVPXOQFAHWKPMF3B,"His new * thing * is reciting the Itsy Bitsy Spider ... but he calls it "" Tinky Winky Spider "" for some reason . I filmed him doing it with the digital camera , and uploaded it to YouTube so my family can see . And I ' m sharing with the f - list . ( If the link does n't work , just copy / paste .",What may be a fact about the speaker ?,They have a young child .,None of the above choices .,They are using their child for YouTube views .,They want YouTube to watch their child .,0
3AFT28WXLHGHL6B793E36ASZUSVIOO##3NPI0JQDARKS241D8HWOY1VN4DZPTX##AS5X6GRDJKWG3##Blog_1441090##q2_a1##3EHVO81VN7ZWTJTMXJY7U2EC2KLH1J,"His new * thing * is reciting the Itsy Bitsy Spider ... but he calls it "" Tinky Winky Spider "" for some reason . I filmed him doing it with the digital camera , and uploaded it to YouTube so my family can see . And I ' m sharing with the f - list . ( If the link does n't work , just copy / paste .",What may happen after they upload their video ?,Their family will view the video .,They will watch the video with their child .,They will get views on their video from others .,Their video will go viral on YouTube .,0
3AFT28WXLHGHL6B793E36ASZUSVIOO##3NPI0JQDARKS241D8HWOY1VN4DZPTX##AS5X6GRDJKWG3##Blog_1441090##q2_a1##3CVDZS288JE9BCO5VFT5B9Q2KG3MFY,"His new * thing * is reciting the Itsy Bitsy Spider ... but he calls it "" Tinky Winky Spider "" for some reason . I filmed him doing it with the digital camera , and uploaded it to YouTube so my family can see . And I ' m sharing with the f - list . ( If the link does n't work , just copy / paste .",What may happen after they upload their video ?,Their video will go viral on YouTube .,They will get views on their video from others .,They will watch the video with their child .,They will send the video link to their family .,3
3QE4DGPGBR9KRXWNGXNRF2L66WK4GU##3PJUZCGDJ7E9H8UB4XDWTHBCI0S98D##A3PPLDHC3CG0YN##Blog_1464670##q1_a1##3V7ICJJAZCU3U5NJK97D6PIHJSS4B7,"Yuri just kept popping back into the cage . He must have really enjoyed staying there , LOL . All in all , it was a much more positive experience than the vet hospital that I boarded him at last summer . The price ( not as much as i was told last summer either ) was definitely worth it and I will definitely try to board Yuri at Petsmart in the future if I can .",What may be the reason for them thinking Yuri wanted to stay there ?,Yuri was homesick and very weak when picked up .,Yuri could n't get out of the cage fast enough .,Yuri did n't want to leave .,Yuri was clinging onto their owner .,2
3N7PQ0KLI73GJCGZUM4KXSWW8PBE3Y##3X87C8JFV9QCNGPDJU6NO1PBBOMSQH##AABCSDU3TZLNG##Blog_55021##q1_a1##39WSF6KUV4Z5519LDKOCLVU73N1OEB,"You know how sometimes you pass a squashed skunk on the road or catch a whiff of one roving around in the underbrush and your reaction is "" Phew ! That sure is smelly ! "" My friends , you have no idea .",What has the writer just experienced ?,She 's just now smelled a skunk roving in the underbrush .,She just saw a skunk that was squashed on the road .,A skunk just sprayed her or something very near her .,She 's just now smelled a skunk that 's been dead for a while .,2
3I6NF2WGIIAHH5ZUE0I1CSFSZWM5GR##3DYGAII7PONFAO9LRD2TTWK0NFGQPL##A3PPLDHC3CG0YN##Blog_1081479##q1_a1##3UQ1LLR26CMU93PCKN6YXV0MN13ALM,"Then , a month of being home alone made me realise I did n't cook any meat , nor did I have any desire to cook or eat meat , so why should I ? Just to fuel the veggie - thoughts further , I started looking on the net at slaughterhouses , videos of what the do to pigs and the conditions they live in . There 's videos of them being picked up by their hind legs and slammed into the concrete floor because they 're too weak , and falling out of trucks too weak to stand up when they arrive at the slaughterhouses .",What may be the reason why they watched such horrible videos ?,None of the above choices .,To ensure that they do n't eat meat .,To find out how to make their own bacon .,To get information on how to run a slaughterhouse .,1
3S4TINXCC217YYX13TMMKNON1WROBT##3BXQMRHWK2D1HEJPG6U6MTNUNYEUM9##A1WAWEY2810TFN##Blog_812842##q1_a1##3NRZ1LDP7YKL1WCIO7F4V50G2DKPZA,"I head back to Madison , so wheeee . Eris is currently hanging upside - down from her kitty howse . She 's stalking one of her scary toys . Anyways , I got clothings today ! All of the pants that I really liked at Express were $ 100 ... so I could n't have them . But I did get some other ones that were also very nice , I got two pairs for $ 100 , so a pretty good deal .",Why is the person pleased ?,Their cat is happy,Their daughter is being well behaved,They got some good bargains,They had a nice lunch,2
31GN6YMHLR6EKTN551ZRR6B87GUSWD##3ZAZR5XV04X5UR1894Z00PXXVLEZCC##A1GV0UZU0T2ORS##Blog_128146##q1_a1##3I01FDIL6OMM6O6GURFV809K3L3D2X,"Then he tells me "" will that s not the way i do it , and its not as fast so your going to do it my way now . And even if you do nt think it is better just say it is . "" So i just nod and do it his way .",What is a characteristic of the person the narrator is being instructed by ?,They 're reasonable .,None of the above choices .,They 're selfless .,They 're rude .,3
31GN6YMHLR6EKTN551ZRR6B87GUSWD##3ZAZR5XV04X5UR1894Z00PXXVLEZCC##A1GV0UZU0T2ORS##Blog_128146##q1_a2##30ZKOOGW2YKHJWL8RDOFDGR9QCSA1B,"Then he tells me "" will that s not the way i do it , and its not as fast so your going to do it my way now . And even if you do nt think it is better just say it is . "" So i just nod and do it his way .",What is a characteristic of the person the narrator is being instructed by ?,They 're selfless .,They 're power hungry .,None of the above choices .,They 're reasonable .,1
31GN6YMHLR6EKTN551ZRR6B87GUSWD##3ZAZR5XV04X5UR1894Z00PXXVLEZCC##A1GV0UZU0T2ORS##Blog_128146##q2_a1##3W0KKJIARTN569EF2PAJM4HD9USK8K,"Then he tells me "" will that s not the way i do it , and its not as fast so your going to do it my way now . And even if you do nt think it is better just say it is . "" So i just nod and do it his way .",What is not something that the person says about his way versus the narrator 's way ?,His way is the only possible way .,His way is faster .,His way is better .,None of the above choices .,0
3EQPA8A376APFL9KTUAKY9E4T54JZC##3R2UR8A0IDVHYLYWYRK6Y4B3CJBXOQ##A2RUHO7I7Y4XFA##Blog_230633##q1_a1##322ZSN9Z5IY3QRH0KVYY6JO4QL3T48,"School 's become such a drag and waste of time for me . I think I could learn more through out - of - school experiences and self - educating than I do inside those damn ritzy corridors . I ' m starting to believe I only attend classes to keep my mom from being mortified - heh , dropping out , mom ! - and to see my friends / keep my promise to Mai .",How do you feel about school ?,I hate seeing my old friends there .,I like to attend classes .,None of the above choices .,I hate going to school .,3
